Country,Airlines,Model Series,Region
France,Air France,A318,Europe
United Kingdom,British Airways,A318,Europe
United States,Frontier Airlines,A318,North America
Chile,Latam Airlines Group,A318,Latin America & Caribbean
United States,Nas Aviation Services,A318,North America
Romania,Tarom,A318,Europe
France,Air France,A318,Europe
United Kingdom,British Airways,A318,Europe
United States,Frontier Airlines,A318,North America
Chile,Latam Airlines Group,A318,Latin America & Caribbean
United States,Nas Aviation Services,A318,North America
Romania,Tarom,A318,Europe
France,Air France,A320,Europe
Romania,Tarom,A320,Europe
Netherlands,Aercap,A319ceo,Europe
Russian Federation,Aeroflot Russian Airlines,A319ceo,Europe
Ireland,Aerventure,A319ceo,Europe
Libya,Afriqiyah Airways,A319ceo,Africa
France,Aigle Azur,A319ceo,Europe
Germany,Air Berlin,A319ceo,Europe
Canada,Air Canada,A319ceo,North America
China,Air China,A319ceo,Asia-Pacific
Ireland,Aircraft Purchase Fleet,A319ceo,Europe
France,Air France,A319ceo,Europe
France,Air Inter,A319ceo,Europe
Mauritius,Air Mauritius,A319ceo,Africa
Namibia,Air Namibia,A319ceo,Africa
China,Air Travel,A319ceo,Asia-Pacific
Italy,Alitalia,A319ceo,Europe
United States,American Airlines,A319ceo,North America
United States,America West Airlines,A319ceo,North America
Faroe Islands,Atlantic Airways,A319ceo,Europe
Austria,Austrian Airlines,A319ceo,Europe
Colombia,Avianca,A319ceo,Latin America & Caribbean
El Salvador,Avianca El Salvador,A319ceo,Latin America & Caribbean
United Kingdom,Avianca Group International Limited,A319ceo,Europe
United States,Aviation Capital Group,A319ceo,North America
Ireland,Avolon,A319ceo,Europe
Azerbaijan,Azerbaijan Airlines,A319ceo,Europe
Singapore,Boc Aviation,A319ceo,Asia-Pacific
United States,Boullioun,A319ceo,North America
United Kingdom,British Airways,A319ceo,Europe
China,Calc,A319ceo,Asia-Pacific
China,Casc,A319ceo,Asia-Pacific
Philippines,Cebu Pacific,A319ceo,Asia-Pacific
China,Chengdu Airlines,A319ceo,Asia-Pacific
China,China Eastern Airlines,A319ceo,Asia-Pacific
China,China Southern Airlines,A319ceo,Asia-Pacific
Ireland,Cit Leasing,A319ceo,Europe
Croatia,Croatia Airlines,A319ceo,Europe
Czech Republic,Csa - Czech Airlines,A319ceo,Europe
Cyprus,Cyprus Airways Old,A319ceo,Europe
Bhutan,Druk Air,A319ceo,Asia-Pacific
United Kingdom,Easyjet,A319ceo,Europe
Finland,Finnair,A319ceo,Europe
United States,Frontier Airlines,A319ceo,North America
Germany,Germania,A319ceo,Europe
